tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0260960	movie	Beijing Herbs	Huang lian · Hou pu	0	2000.0		98	Drama
tt0260991	movie	Joint Security Area	Gongdong gyeongbi guyeok JSA	0	2000.0		110	Action,Drama,Thriller
tt0260992	movie	Juliet in Love	Chu Lai Yip yu Leung San Pak	0	2000.0		89	Drama,Romance
tt0260993	video	Junk n da Trunk	Junk n da Trunk	1	2000.0		80	Adult
tt0260996	movie	Happy Angels	Kaixin dou lai mi	0	2000.0		90	Comedy,Family,Music
tt0261000	movie	Umbrella Flower	Kaza-hana	0	2000.0		116	Drama
tt0261004	video	Kingpin	Kingpin	1	2000.0			Adult
tt0261013	movie	Le larbin	Le larbin	0	2000.0			
tt0261014	video	Sexual Predator	Last Cry	0	2001.0		85	Thriller
tt0261021	video	Little White Chicks Big Black Monster Dicks #5	Little White Chicks Big Black Monster Dicks #5	1	2000.0		90	Adult
tt0261022	video	Little White Chicks Big Black Monster Dicks #6	Little White Chicks Big Black Monster Dicks #6	1	2000.0		90	Adult
tt0261023	video	Little White Chicks Big Black Monster Dicks 7: European Invasion!!!	Little White Chicks Big Black Monster Dicks 7: European Invasion!!!	1	2000.0		115	Adult
tt0261027	video	Loving Spoonfuls 37: Exotics and Asians	Loving Spoonfuls 37: Exotics and Asians	1	2000.0		125	Adult
tt0261066	movie	Piñero	Piñero	0	2001.0		103	Biography,Drama
tt0261076	video	More Dirty Debutantes 127	More Dirty Debutantes 127	1	2000.0		138	Adult
tt0261096	video	Nana's Gang Bang	Nana's Gang Bang	1	2000.0			Adult
tt0261104	video	Nice Rack 5	Nice Rack 5	1	2000.0		140	Adult
tt0261116	video	Nothing Artificial	Nothing Artificial	1	2000.0			Adult
tt0261123	short	Odessa	Odessa	0	2000.0		27	Drama,Short
tt0261125	movie	A War Named Desire	Oi yue shing	0	2000.0		89	Action,Romance,Thriller
tt0261135	video	The Opera Ghost: A Phantom Unmasked	The Opera Ghost: A Phantom Unmasked	0	2000.0		51	Documentary
tt0261137	video	Oral Consumption	Oral Consumption	1	2000.0		140	Adult
tt0261171	video	Personal Trainer Sluts	Personal Trainer Sluts	1	2000.0			Adult
tt0261174	movie	Pie in the Sky: The Brigid Berlin Story	Pie in the Sky: The Brigid Berlin Story	0	2000.0		75	Biography,Documentary
tt0261175	movie	Peter Ball	Pietje Bell	0	2002.0		110	Family
tt0261180	video	Playboy Wet & Wild: Slippery When Wet	Playboy Wet & Wild: Slippery When Wet	0	2000.0		58	Comedy,Documentary
tt0261182	movie	Podari mne lunnyy svet	Podari mne lunnyy svet	0	2001.0			Comedy,Drama
tt0261184	movie	Come Look at Me	Prikhodi na menya posmotret	0	2001.0		102	Comedy,Romance
tt0261185	movie	Poklonnik	Poklonnik	0	2001.0		93	Drama,Thriller
tt0261190	movie	El portero	El portero	0	2000.0		88	Drama,Sport
tt0261197	movie	Prezident i ego vnuchka	Prezident i ego vnuchka	0	2000.0		100	Comedy
tt0261199	movie	The Price of Air	The Price of Air	0	2000.0		73	Action,Crime,Drama
tt0261202	movie	Midjachvuli raindebi	Midjachvuli raindebi	0	2000.0		91	Comedy
tt0261209	video	Psy-chic	Psy-chic	1	2000.0		70	Adult
tt0261212	video	Pure Sin	Pure Sin	1	2000.0		80	Adult
tt0261236	movie	The Rest of Your Life	The Rest of Your Life	0	2001.0			Comedy,Drama
tt0261239	movie	Rhode Island Blue	Rhode Island Blue	0	2001.0			
tt0261241	short	Roberta Loved	Roberta Loved	0	2002.0		24	Drama,Short
tt0261270	movie	Samia	Samia	0	2000.0		73	Drama
tt0261277	movie	The Sea That Thinks	De zee die denkt	0	2000.0		100	Adventure,Biography,Comedy
tt0261289	movie	Serving Sara	Serving Sara	0	2002.0		99	Comedy,Romance
tt0261311	movie	Sound of the Sea	Son de mar	0	2001.0		95	Drama,Romance
